miRanda;target scan;ARL6IP6
GRID2IP;LIFR;GCET2
CDYL;NSUN3;MFHAS1
PGBD2;SRSF7;FAM26E
BDNF;PI4K2B;ADAM9
TACC1;FBXO45;DMD
CALD1;ACTC1;CAT
DLD;UBE2I;RBM12
KPNA1;FLJ20373;FAM49A
LOC283392;CAMK2N1;C13orf18
LOC284551;SOCS1;CSGALNACT1
ZNF277;TTLL7;STK35
ADRB2;FOXD1;ZNF488
CREBBP;SCN9A;FAM189A2
ARHGAP6;SLC7A10;CSN1S1
NBPF10;EDNRA;ING3
LRP1B;IDH1;RCBTB1
TRO;FAM49A;GLCE
PDZK1;RASA1;RNF135
UBE2K;VAT1L;ATP9B
FNDC3B;REV1;DMXL2
WDR41;AP4E1;OTUD7B
SYBU;COL13A1;UGT1A6
TRIM27;ANO4;PVT1
DNAH5;PPP3CA;PMPCB
MET;NRXN3;UGT1A1
FCRL1;SOCS3;PABPC1P2
CAPS2;SNAI1;CARD14
PTPDC1;LRRC8D;SNORA60
SATB1;SEMA3A;GRAMD2
NAP1L1;MAP3K2;LEP
ADIPOR2;NUDT5;ATP6V1H
TGFBR2;CDC37L1;BRWD1
MEIS2;UBE2QL1;RASA1
ZNF594;ERG;HIST2H2BF
CCBL1;JDP2;WDR43
PITPNB;SCN2A;PCDH10
PDSS2;PPID;UBE4A
DNM1L;UBE2J1;UGT1A10
PER3;SBF1;OAS2
IP6K3;GNAI2;PRKACB
PCDH20;CHST1;LRP12
RNF38;SOX4;LOC286184
PCGF6;YTHDC1;MAP7D3
E2F5;PBRM1;HNRNPA2B1
SCAMP1;LONRF1;FAM153B
ERI2;RAPGEF4;ODZ1
SPIN1;SP4;HERC2
DOCK4;NUS1;C4orf19
CHIC1;TMCC1;HBS1L
ERBB2IP;IP6K3;FAM156A
PSME3;PPTC7;SNX16
FAM196A;RAB15;MAGEE1
Sep-02;SHOC2;SGK269
LOC158381;ELMOD2;ANKS4B
ZCCHC11;CELF3;DPY19L3
COPS7B;UBAC1;REV3L
NID1;RNF220;ZNF200
GRM7;SCN1A;REV1
RECK;NAALADL2;EXD2
ALCAM;PPP1R9A;RGS2
AKAP11;Sep-07;TEC
WBP5;ANKRD17;ALG9
SCN3A;FAM110B;PHTF2
ZMYM5;ESCO1;KIAA1147
PUM1;ADAM19;FAM156B
NFE2L2;DLL4;C21orf99
DAZ2;ZBTB41;SEC24A
UBN1;CSNK1A1;RPTN
LOC100289314;PIP4K2B;METTL13
STARD3;KDM3A;TNRC6C
CHL1;JAKMIP2;C3orf19
SON;GPR125;ANKRD22
C12orf76;RASAL2;PNPLA1
HSPA2;AMOTL2;RANBP10
IP6K2;GOLGA1;TLX1
NAIP;CUL2;ANKRA2
EPB41L3;MAN1A2;ZNF491
TDRD7;CCNK;SFRS14
CALCOCO1;SOCS6;USP53
HORMAD1;P4HA2;CHST1
FBXW11;PDE4D;LRP6
BTBD10;EPG5;WDR19
ADRB1;MTTP;LOC100133207
DOCK7;PAX3;EXOC6
SH3KBP1;SLC38A7;DIXDC1
FOXRED1;GXYLT1;PPIP5K2
EPB41L4B;LARGE;TTC8
PLCXD2;ADRA1D;CDC7
TTC8;CHL1;ARID4B
TPMT;SLC30A4;ARHGEF9
IL12RB2;SCYL3;UBXN4
RGPD8;ZBTB7A;DZIP1L
GRIN3A;DNMT3A;DAGLA
GSTM4;BAZ2B;PHLDB2
PROS1;NCAM1;FLVCR1
CCDC111;LPGAT1;CYB561
JAKMIP2;UNC5C;ZSWIM5
HNRPLL;VKORC1L1;USP48
RELN;RAB27B;RNF220
SETD5;ATP2B2;TRA2B
DYT3;RAI14;TNRC6A
KIAA0430;DDX19B;PLAG1
PRIM2;MMP16;COMT
PLEKHG4;SOX12;SCEL
C1orf55;HELZ;HHIPL1
PVRL4;PALM2;DOCK5
ARL4A;MCF2L;NARG2
PCMTD1;SLC12A6;GXYLT1
FBLN2;XPR1;CSDA
CCDC120;BEAN1;FAM24A
CCNJL;APBA1;NR1D2
EPHA7;ATP6V1C1;ZNF275
KHNYN;JAG2;R3HDM1
OSBPL3;ARHGEF6;TWF1
PML;BAHD1;ING5
HACE1;KIAA1549;TNFRSF10D
INPP4B;ABAT;ABCC5
LOC339290;KCTD7;FAM71D
DCTN4;ITGB3;ZIC1
PRKAR1A;FAM13A;MACC1
ESRRG;SALL4;BTF3L1
CCDC135;AFF4;PRCD
C9orf68;CCDC97;GJA1
AIDA;UBE2V2;FAM168B
UBXN2A;CMTM4;LOC286059
PANK1;RCOR1;PRPF18
BNIP3L;PTPN4;SPCS3
FAM135A;PLXNA2;DLGAP2
RMI1;TMOD2;EEF1DP3
ACOT13;MFSD6;FLJ34503
ZNF585A;OSBPL8;BAI3
DLG1;TENM1;C8orf80
CRLS1;FAM83F;CFL2
MICB;HCFC2;NUFIP2
INSIG2;KIAA0355;PHIP
ASB15;HIC2;LOC286434
KLF11;SETD7;SLC10A7
ACPL2;GPR124;CIT
PEX13;C20orf112;NECAB1
RBM5;CHRM3;INTS2
Sep-08;TIMP3;CPEB4
MTSS1;CBX8;FAM81A
CD2AP;RPS6KA2;KCNJ12
CFL2;HOXD11;TRAPPC10
DOK5;MYO5A;LIFR
EYA2;USP47;CPSF6
SIGLEC8;TCF21;C12orf72
IQCK;TRPM7;ANKRD13A
KCTD3;IDE;FAM91A1
PPP1R14C;TNIK;SYNCRIP
LPAR1;GPR26;SLC9A8
POSTN;FOSL2;IL1RAP
TMEM117;DLG5;SALL4
CNTN4;CAPZA1;NRG3
ABCD3;TAF4B;RPRD1A
BAHD1;ZBTB39;SERINC3
STOX2;CAMK2D;USP37
PHF20L1;RUNX2;RRM2
PRRG1;PGP;EEPD1
PPP1R12A;SNX8;SLC35C1
ZNF326;CHST2;NCOR2
KDM6A;GFPT2;HCFC2
HNRNPD;PLEKHO2;KLF9
CERKL;CAMK4;SPA17
STAMBP;TCF7;LMLN
