miranda;targetscan;ABCG1
MYO7A;;
CDH20;;
AFMID;;
FAM5B;;
HHLA2;;
BMP6;;
SLC35F1;;
C18orf45;;
NAE1;;
NUAK2;;
ELF5;;
PHLDB3;;
KIAA1012;;
KILLIN;;
STX17;;
SIRT4;;
ZNF726;;
YOD1;;
CTNNBIP1;;
RHOF;;
ECHDC2;;
FAM105A;;
CCDC66;;
DIP2C;;
LCLAT1;;
C14orf101;;
WSB2;;
SLC12A8;;
HDHD2;;
TMEM199;;
FKSG49;;
ZNF397;;
FAM13A;;
MAN1A2;;
BLZF1;;
GAS1;;
PLXDC2;;
LOC643648;;
LOC150527;;
LOC100132707;;
CCNA1;;
UHRF1;;
H3F3B;;
FBXL14;;
UAP1;;
MAK;;
NDE1;;
PATE1;;
SSBP1;;
PAOX;;
ZNF549;;
SPIRE2;;
EIF1;;
MT1IP;;
ATP6V0D2;;
CD3G;;
ZNF491;;
HSPB11;;
LRRC37A4;;
RNLS;;
PQLC3;;
ZSCAN22;;
RAB15;;
TRPC5;;
LOC152742;;
YPEL2;;
LCMT1;;
PTPDC1;;
COX4I2;;
SOBP;;
ERI2;;
ZBTB6;;
SRI;;
COG1;;
ARAP2;;
VWA3B;;
CXCR2;;
YLPM1;;
SYNC;;
KANK1;;
TMEM30B;;
PPID;;
RUSC2;;
ARRDC3;;
HCG26;;
SLC25A38;;
ITGA1;;
C1QTNF9B;;
SSX3;;
FAM84B;;
LOC285540;;
PTGR1;;
NRIP3;;
PTGER4;;
ZNF709;;
NPAT;;
RDH5;;
NUDT4P1;;
LETM2;;
LANCL3;;
ARSD;;
FAM125B;;
AFAP1L2;;
ARID3A;;
SLAMF8;;
MFSD2B;;
ATPBD4;;
ALDH1L1;;
SERTAD2;;
C17orf90;;
SOX3;;
CDH1;;
ZNF853;;
DIS3L2;;
HSPA14;;
LOC283663;;
MSL3;;
CNST;;
LOC440518;;
MGC131512;;
GABPB2;;
FBXL18;;
PTPLA;;
SLC35D1;;
EML6;;
ZNF215;;
RPS23;;
CRISP3;;
ANGEL2;;
CPSF2;;
TMEM128;;
GRIK4;;
LOC100134368;;
SDPR;;
SPTBN4;;
MASTL;;
SNAP23;;
PTH1R;;
ZSCAN1;;
FAM66D;;
SERP1;;
ENOSF1;;
RUNDC2C;;
KIAA1875;;
PURG;;
STK40;;
C5orf23;;
SLC30A4;;
psiTPTE22;;
PAFAH1B1;;
LOC100147773;;
SLC25A2;;
ZNF517;;
GRIN2A;;
SYN2;;
TNS4;;
VENTXP1;;
ZCCHC11;;
MUTED;;
RASGRP3;;
FLJ43315;;
LOC100128292;;
CCDC132;;
FAM46C;;
SNRPN;;
ADAM6;;
IFIT2;;
ZNF292;;
ZNF90;;
PSMD9;;
DAND5;;
SMS;;
SLC12A5;;
RPS15A;;
AP4E1;;
FAM95B1;;
ZYG11A;;
FKBP6;;
SKA2;;
VNN1;;
C17orf104;;
ACTRT1;;
GABARAPL2;;
RTN4R;;
WIPF1;;
NFE2L3;;
TXNRD1;;
KLHL29;;
HSPC159;;
KCNA6;;
LOC286238;;
LOC100133957;;
SNTG2;;
POM121;;
TNFRSF1A;;
TBX5;;
FBLIM1;;
WNK4;;
DNAJC24;;
PCBP2;;
MSC;;
MMP25;;
COL4A4;;
HPGD;;
ORAI3;;
ZNF829;;
WDR11;;
BAZ1B;;
ABCB5;;
CEP135;;
AWAT1;;
KCNK2;;
MED17;;
ZNF329;;
TRIM36;;
STAM2;;
CECR6;;
INO80E;;
CCDC59;;
CCRN4L;;
AKR1D1;;
FAM35B2;;
HSPH1;;
AKR7L;;
MBNL2;;
RAB39;;
EPB41L4B;;
CLTA;;
NF2;;
CHD7;;
C17orf48;;
LOC729177;;
DDX52;;
PNO1;;
POLN;;
ZWINT;;
SEPHS1;;
LRRC8C;;
CCDC73;;
C15orf57;;
C6orf106;;
LRRC16A;;
DDI1;;
ERC1;;
UTP20;;
C14orf147;;
ZNF559;;
AGGF1;;
ACAD10;;
CDC14A;;
CS;;
MDM1;;
PPM1K;;
TMEM97;;
LOC148709;;
INF2;;
PCBD2;;
GSK3A;;
SDR42E1;;
ADAMTS1;;
LOC338799;;
ASXL1;;
LOC440356;;
GPR37L1;;
LOC644538;;
CCT6P3;;
NIPAL3;;
RAB9BP1;;
TNFAIP2;;
C16orf70;;
ZNF197;;
LRP1;;
OTUD1;;
MIR155HG;;
ELAVL1;;
B3GALNT2;;
CAP2;;
FDX1;;
SERAC1;;
STX7;;
CBX3;;
CHST4;;
SERPINE1;;
ZNF254;;
HPS4;;
LYRM7;;
EFHC1;;
SLC6A19;;
GNGT1;;
CNO;;
ATAD2;;
MSTO1;;
CYB5D1;;
SUN1;;
GVIN1;;
ZFC3H1;;
HCN1;;
DDX46;;
DCAF16;;
KU-MEL-3;;
KIAA0556;;
PRKRIP1;;
ZNF608;;
PPP1R3D;;
FZD4;;
DAPK2;;
RTP1;;
NUF2;;
PLGLB1;;
MCCC2;;
NBR2;;
CLEC2B;;
C19orf52;;
C20orf11;;
C13orf36;;
COL17A1;;
Sep-04;;
APOF;;
FANCC;;
RBMXL2;;
UEVLD;;
MGA;;
C5orf36;;
C20orf24;;
MAP1LC3C;;
ZDHHC24;;
FAM135B;;
MRPL44;;
TRAPPC4;;
C14orf184;;
PSMB10;;
LOC253264;;
A2ML1;;
LOC100290676;;
VIPR2;;
RBM19;;
PPP1R15B;;
LOC285500;;
LOC401588;;
ERGIC3;;
RPL37;;
MACF1;;
THAP6;;
FUS;;
PRAMEF14;;
GORAB;;
DNAJB7;;
C7orf64;;
PCBD1;;
TMEM119;;
ZNHIT1;;
LOC100422781;;
AKAP10;;
LOC641518;;
CEP350;;
POFUT2;;
ATP5L;;
YAF2;;
GRAMD1C;;
PIP5K1P1;;
RUNDC2A;;
HOXD12;;
NAA15;;
STAG3L3;;
NDST3;;
SLC35A2;;
MPND;;
BTG4;;
LEPRE1;;
MICALCL;;
FANCI;;
PXDN;;
RAB8A;;
ZDHHC22;;
GAGE1;;
SLC4A5;;
ZC3HAV1;;
B3GNT1;;
GNAI3;;
DMC1;;
CCDC122;;
MASP2;;
B2M;;
SCML2;;
VPS13A;;
ZNF280C;;
CSNK1G1;;
MCART6;;
PM20D2;;
PLA2G4C;;
IL8;;
LIMS1;;
SPG7;;
XPO7;;
ZBTB1;;
SYNE1;;
MEA1;;
FBXL20;;
RANBP9;;
LOC121952;;
DDX11L5;;
RBM27;;
DHRSX;;
TCF15;;
ZKSCAN2;;
CHID1;;
TNFRSF9;;
NRP1;;
LOC494141;;
SAP18;;
ACPP;;
PRAMEF10;;
SAA4;;
PTPRQ;;
TMED3;;
CA5B;;
CLEC18C;;
LOC390940;;
FOXP2;;
SLC16A14;;
GALM;;
BCL2L14;;
HAVCR2;;
OR51E2;;
APOOL;;
IFT81;;
DCAF4L1;;
LOC100129716;;
P2RX1;;
EPHA2;;
SPDYE3;;
PDCL;;
JARID2;;
LOC339166;;
PLA2G2D;;
TMEM9B;;
SFI1;;
CTBP1;;
SUFU;;
ANKLE2;;
TMEM183B;;
SVOP;;
MUC19;;
SEH1L;;
C9orf40;;
RBM12B;;
ZNF100;;
KIAA1161;;
CDH19;;
RPL13AP3;;
ECM2;;
IQCE;;
IL12RB1;;
CASC4;;
ALX3;;
GRM7;;
VPS45;;
MYO1G;;
PRIM2;;
DUSP28;;
C1orf212;;
ANKAR;;
FAM200B;;
MTPN;;
GRWD1;;
LOC729020;;
VWA5B1;;
FAM85A;;
ARIH1;;
GP1BA;;
ZSCAN16;;
CHERP;;
LOC440925;;
CHCHD1;;
CD69;;
TSTD2;;
HNRPA1L-2;;
ZNF428;;
ABCA17P;;
ABCC6P1;;
TOMM7;;
FAM116A;;
FER1L4;;
PIN4;;
CD33;;
RAPGEF4;;
TCL6;;
EPHA4;;
ZNF738;;
IER3IP1;;
ZNF586;;
PPIL6;;
GALNTL6;;
NUCB2;;
ABHD11;;
RAP2A;;
NCF4;;
CCDC82;;
ULBP3;;
OBSCN;;
CA3;;
MTMR6;;
MPP4;;
GNG5;;
ANKRD29;;
MGC21881;;
FLJ38028;;
COL14A1;;
SPNS1;;
IGSF1;;
SLC15A1;;
PLCH1;;
WHAMM;;
CD72;;
C6orf94;;
MAP7D3;;
TTTY23B;;
RPF1;;
LRRC19;;
SRGAP3;;
DUSP5;;
SIK1;;
ITPKC;;
OMA1;;
C1QL4;;
PLCD3;;
SLC48A1;;
GALNT11;;
SEC61B;;
LRRC55;;
LOC100131190;;
